Are 100 100 0.9999531953195329 0.00012004230343548754 0.13 0.13 0.9479 2792.61
Ber 100 100 0.9999697569756987 3.680209914828051e-05 0.11 0.11 0.9548 224133.344712182
Dware 100 100 0.9999767176717681 2.0097780477371856e-05 0.22 0.22 0.9627 3729.6
Gar25 100 100 0.2133476147614761 0.16544082080717876 0 0 0.028 511.126
Gar50 100 100 0.99971593159316 0.0025149767449114393 0.18 0.18 0.9518 1542.71
Gar75 100 100 0.9999617161716182 5.102224729291336e-05 0.09 0.09 0.9487 2424.74
H 100 100 0.9999740774077418 2.080208020801766e-05 0.14 0.14 0.9586 59.1354
Ham 100 100 0.9381746174617461 0.1314078887342779 0.03 0.03 0.6528 39.1551
Ine 100 100 0.9999738373837391 2.485872708638913e-05 0.17 0.17 0.959 86.8603
Lsq 100 100 0.9999741974197428 1.9846837462701396e-05 0.19 0.19 0.9576 100.683
Msd 100 100 0.9888424842484251 0.04305047890383677 0.03 0.03 0.7842 1108.96
Nsd 100 100 0.9875458745874589 0.06166679525226569 0.05 0.05 0.7866 753.335
Par 100 100 0.9999642364236432 4.589711237413961e-05 0.1 0.1 0.9507 266.406
Psis 100 100 0.9999747974797488 2.3357304055257446e-05 0.19 0.19 0.9597 160.844
Rgar25 100 100 0.23403648364836493 0.13127109770724443 0 0 0.0273 160.844
Rgar50 100 100 0.9972301230123013 0.007905914545401899 0 0 0.7581 1237.5
Rgar75 100 100 0.9996061206120617 0.0009140500354577913 0 0 0.8121 2036.47
Ware 100 100 0.9999745574557467 2.5828855625488637e-05 0.15 0.15 0.96 3345.41
Wrcug 100 100 0.9999165916591666 0.0004536543279865496 0.14 0.14 0.9471 2329.89
Wrcwg 100 100 0.9999698769876997 3.71567652271163e-05 0.17 0.17 0.9546 1696.53
Wrug 100 100 0.9224902490249023 0.13335250127830917 0.02 0.02 0.4221 1809.45
Wrwg 100 100 0.9999668766876698 2.8447112387477143e-05 0.15 0.15 0.9502 1226.77
