Are 250 100 0.9570666308260931 0.013720396430893626 0 0 0.04228 44688.36026928
Dware 250 100 0.9587401756828107 0.007817005068788801 0 0 0.03328 77940.322170852
Gar125 250 100 0.8971827466039458 0.1556892768808726 0 0 0.04116 23400.106775607
Gar187 250 100 0.9720401132818124 0.01034396622774839 0 0 0.04644 37536.035688126
H 250 100 0.9653692583881341 0.00797032829223693 0 0 0.0428 589.176019323
Ham 250 100 0.48173829597273565 0.30260138375688084 0 0 0.0098 373.834515141
Ine 250 100 0.9606677559640954 0.009517258035363062 0 0 0.03976 708.412984434
Lsq 250 100 0.9645201363221814 0.008648222635152296 0 0 0.04212 952.334159226
Msd 250 100 0.8075709883358134 0.16367580497885684 0 0 0.02072 7622.976604521
Nsd 250 100 0.7873968492295879 0.21659583266952076 0 0 0.02392 5552.572800372
Par 250 100 0.9603004924878797 0.00897871726228789 0 0 0.03412 2191.910858364
Psis 250 100 0.96304231939711 0.00767906681053273 0 0 0.04144 2404.902978442
Rgar125 250 100 0.46137349013584206 0.21352294238808558 0 0 0.01236 12748.02218823
Rgar187 250 100 0.8611846512744202 0.03571972453440006 0 0 0.0246 20286.367253719
Ware 250 100 0.9652054644074305 0.00685357950534751 0 0 0.04052 62153.568334502
Wrcug 250 100 0.9477134853357653 0.09450632293990756 0 0 0.0428 44342.090747073
Wrcwg 250 100 0.9571947429558872 0.0905140432311874 0 0 0.04384 23763.760116284
Wrug 250 100 0.3961851216819469 0.23510024138259522 0 0 0.01144 28199.551004386
Wrwg 250 100 0.925926881390102 0.026408035193250985 0 0 0.02668 16279.07866848
