Are 250 100 0.9598674794796718 0.011777892303723636 0 0 0.05464 41425.352385716
Dware 250 100 0.9589280545288728 0.010177743249137517 0 0 0.04188 73018.198508925
Gar125 250 100 0.8790040723851585 0.1640736351668894 0 0 0.052 21874.965584121
Gar187 250 100 0.9715183487735799 0.009684584982320554 0 0 0.06948 35201.868148119
H 250 100 0.9676074151586423 0.006536968202002539 0 0 0.0518 567.033959456
Ham 250 100 0.5867982066913072 0.28321252995767887 0 0 0.04544 351.042360317
Ine 250 100 0.9630735237363796 0.00937161303627937 0 0 0.05168 690.912304414
Lsq 250 100 0.9655050045600732 0.009127441011726448 0 0 0.05196 913.547443638
Msd 250 100 0.8148722737963807 0.1757831098758981 0 0 0.04508 7363.2532257
Nsd 250 100 0.7907902884846161 0.17234821703189376 0 0 0.04768 5380.467897155
Par 250 100 0.95852591561465 0.008032526679940269 0 0 0.03564 2134.360045643
Psis 250 100 0.9677407958527334 0.00745905271599328 0 0 0.0554 2338.123563373
Rgar125 250 100 0.4246788767820285 0.21588096174105956 0 0 0.0132 12083.049034218
Rgar187 250 100 0.8674947093553496 0.03043294254416526 0 0 0.02812 19204.082940699
Ware 250 100 0.9672783526136414 0.006725347072920171 0 0 0.04856 60395.141321132
Wrcug 250 100 0.9485622003552059 0.09139384667882944 0 0 0.0546 43188.658961601
Wrcwg 250 100 0.9682279306868915 0.007466625644194906 0 0 0.05484 23797.240996263
Wrug 250 100 0.6142839840637451 0.2281262880601955 0 0 0.017 27750.937767004
Wrwg 250 100 0.9451770172322758 0.011128598915983338 0 0 0.0322 16326.009788037
