Dware,0.22
Psis,0.19
Lsq,0.19
Gar50,0.18
Wrcwg,0.17
Ine,0.17
Wrwg,0.15
Ware,0.15
Wrcug,0.14
H,0.14
Are,0.13
Ber,0.11
Par,0.1
Gar75,0.09
Nsd,0.05
Msd,0.03
Ham,0.03
Wrug,0.02
Rgar75,0
Rgar50,0
Rgar25,0
Gar25,0
