Are 500 100 0.7670739870159481 0.03202781530023835 0 0 0.00976 317063.102859813
Dware 500 100 0.7944456472225889 0.030569926770920467 0 0 0.0075 564305.871096705
Gar375 500 100 0.7855506423625696 0.03460952760030753 0 0 0.00998 264752.679361314
H 500 100 0.8115209360037438 0.025691360854413217 0 0 0.00764 1935.091844907
Ham 500 100 0.3249561609446438 0.2028910944472458 0 0 0.0031 1136.468772836
Ine 500 100 0.7938186466345866 0.03123473385737841 0 0 0.00708 2509.407197514
Lsq 500 100 0.8076396135984545 0.029579270096721545 0 0 0.00876 3275.937875781
Msd 500 100 0.374418446473786 0.23403551230445577 0 0 0.00292 22503.770885916
Nsd 500 100 0.39833705830823307 0.24059044093898366 0 0 0.00278 16420.394174773
Par 500 100 0.7456234596138384 0.1348248279778555 0 0 0.00546 7669.482227612
Psis 500 100 0.811093165972664 0.02972274426328079 0 0 0.00796 8277.470818205
Ware 500 100 0.8153262846651388 0.02761010732338857 0 0 0.00736 439362.876381522
Wrcug 500 100 0.7538620282481131 0.10840782813254261 0 0 0.00984 305768.973854586
Wrcwg 500 100 0.8020603160812645 0.08238636795681535 0 0 0.00794 154936.416905016
Wrug 500 100 0.3988995543182173 0.1523281902142491 0 0 0.00334 183918.736245334
Wrwg 500 100 0.7790035947343787 0.07526580665885875 0 0 0.00716 103458.963517029
